VDOT,1500m,Mile,3000m,2-mile,5K,10K,15K,Half Marathon,Marathon,Easy/Long,Easy/Long(mph),Marathon Pace,Marathon Pace(mph),Threshold Pace,Threshold Pace(mph),Interval Pace,Interval Pace(mph),Repetition Pace,Repetition Pace(mph)
30.0,0:30:40,9:11,17:56,19:19,0:30:40,1:03:46,1:38:14,2:21:04,4:49:17,0:12:40,4.737,0:11:21,5.286,0:10:18,5.825,0:09:31,6.301,0:08:59,6.677
30.5,0:30:16,8:55,17:27,18:48,0:30:16,1:02:55,1:36:55,2:19:13,4:45:37,0:12:31,4.794,0:11:12,5.357,0:10:10,5.902,0:09:23,6.391,0:08:51,6.779
31.0,0:29:05,8:41,16:59,18:18,0:29:51,1:02:03,1:35:36,2:17:21,4:41:57,0:12:22,4.852,0:11:02,5.438,0:10:02,5.98,0:09:15,6.484,0:08:43,6.883
31.5,0:28:43,8:27,16:33,17:50,0:29:28,1:01:15,1:34:22,2:15:35,4:38:28,0:12:13,4.911,0:10:53,5.513,0:09:55,6.056,0:09:07,6.579,0:08:35,6.99
32.0,0:27:39,8:14,16:09,17:24,0:29:05,1:00:26,1:33:07,2:13:49,4:34:59,0:12:04,4.972,0:10:44,5.59,0:09:47,6.133,0:08:59,6.677,0:08:27,7.102
32.5,0:27:20,8:01,15:45,16:58,0:28:43,0:59:40,1:31:56,2:12:08,4:31:41,0:11:56,5.028,0:10:36,5.66,0:09:40,6.207,0:08:53,6.753,0:08:19,7.216
33.0,0:26:22,7:49,15:23,16:34,0:28:21,0:58:54,1:30:45,2:10:27,4:28:22,0:11:48,5.085,0:10:27,5.742,0:09:33,6.283,0:08:47,6.83,0:08:11,7.334
33.5,0:26:04,7:38,15:01,16:11,0:28:00,0:58:10,1:29:38,2:08:52,4:25:13,0:11:40,5.143,0:10:19,5.816,0:09:27,6.355,0:08:41,6.91,0:08:07,7.395
34.0,0:25:12,7:27,14:41,15:49,0:27:39,0:57:26,1:28:30,2:07:16,4:22:03,0:11:32,5.202,0:10:11,5.892,0:09:20,6.429,0:08:35,6.99,0:08:03,7.456
34.5,0:24:56,7:17,14:21,15:29,0:27:20,0:56:45,1:27:26,2:05:45,4:19:03,0:11:25,5.259,0:09:39,6.218,0:09:14,6.504,0:08:29,7.073,0:07:55,7.583
